Date,City,Petrol_Price,Diesel_Price
2025-10-22,Chennai,100.8,92.39
2025-10-22,Delhi,94.77,87.67
2025-10-22,Kolkata,105.41,92.02
2025-10-22,Mumbai,103.5,90.03
2025-10-21,Chennai,100.8,92.39
2025-10-21,Delhi,94.77,87.67
2025-10-21,Kolkata,105.41,92.02
2025-10-21,Mumbai,103.5,90.03
2025-10-20,Chennai,100.8,92.39
2025-10-20,Delhi,94.77,87.67
2025-10-20,Kolkata,105.41,92.02
2025-10-20,Mumbai,103.5,90.03
2025-10-19,Chennai,100.8,92.39
2025-10-19,Delhi,94.77,87.67
2025-10-19,Kolkata,105.41,92.02
2025-10-19,Mumbai,103.5,90.03
2025-10-18,Chennai,100.8,92.39
2025-10-18,Delhi,94.77,87.67
2025-10-18,Kolkata,105.41,92.02
2025-10-18,Mumbai,103.5,90.03
2025-10-17,Chennai,100.8,92.39
2025-10-17,Delhi,94.77,87.67
2025-10-17,Kolkata,105.41,92.02
2025-10-17,Mumbai,103.5,90.03
2025-10-16,Chennai,100.8,92.39
2025-10-16,Delhi,94.77,87.67
2025-10-16,Kolkata,105.41,92.02
2025-10-16,Mumbai,103.5,90.03
2025-10-15,Chennai,100.8,92.39
2025-10-15,Delhi,94.77,87.67
2025-10-15,Kolkata,105.41,92.02
2025-10-15,Mumbai,103.5,90.03
2025-10-14,Chennai,100.8,92.39
2025-10-14,Delhi,94.77,87.67
2025-10-14,Kolkata,105.41,92.02
2025-10-14,Mumbai,103.5,90.03
2025-10-13,Chennai,100.8,92.39
2025-10-13,Delhi,94.77,87.67
2025-10-13,Kolkata,105.41,92.02
2025-10-13,Mumbai,103.5,90.03
2025-10-12,Chennai,100.8,92.39
2025-10-12,Delhi,94.77,87.67
2025-10-12,Kolkata,105.41,92.02
2025-10-12,Mumbai,103.5,90.03
2025-10-11,Chennai,100.8,92.39
2025-10-11,Delhi,94.77,87.67
2025-10-11,Kolkata,105.41,92.02
2025-10-11,Mumbai,103.5,90.03
2025-10-10,Chennai,100.8,92.39
2025-10-10,Delhi,94.77,87.67
2025-10-10,Kolkata,105.41,92.02
2025-10-10,Mumbai,103.5,90.03
2025-10-09,Chennai,100.8,92.39
2025-10-09,Delhi,94.77,87.67
2025-10-09,Kolkata,105.41,92.02
2025-10-09,Mumbai,103.5,90.03
2025-10-08,Chennai,100.8,92.39
2025-10-08,Delhi,94.77,87.67
2025-10-08,Kolkata,105.41,92.02
2025-10-08,Mumbai,103.5,90.03
2025-10-07,Chennai,100.8,92.39
2025-10-07,Delhi,94.77,87.67
2025-10-07,Kolkata,105.41,92.02
2025-10-07,Mumbai,103.5,90.03
2025-10-06,Chennai,100.8,92.39
2025-10-06,Delhi,94.77,87.67
2025-10-06,Kolkata,105.41,92.02
2025-10-06,Mumbai,103.5,90.03
2025-10-05,Chennai,100.8,92.39
2025-10-05,Delhi,94.77,87.67
2025-10-05,Kolkata,105.41,92.02
2025-10-05,Mumbai,103.5,90.03
2025-10-04,Chennai,100.8,92.39
2025-10-04,Delhi,94.77,87.67
2025-10-04,Kolkata,105.41,92.02
2025-10-04,Mumbai,103.5,90.03
2025-10-03,Chennai,100.8,92.39
2025-10-03,Delhi,94.77,87.67
